TRAFFIC_MONTH,PEERING_CUSTOMER_ID,ORIGINATION_NETWORK_ID,ORIGINATION_COUNTRY,DESTINATION_NETWORK_ID,DESTINATION_COUNTRY, OUTBOUND_MESSAGES,INBOUND_MESSAGES
May-2014,iVMU,4_4_229_0,SWEDEN,4_5_176_0,INDIA,896,20
May-2014,iBPZ,4_3_157_0,UNIT. ARAB EMIR,4_1_83_0,THAILAND,0,66
May-2014,iNV7,4_5_239_0,VIETNAM,4_4_92_0,INDIA,122717,144418
May-2014,iVMU,4_5_236_0,ZIMBABWE,4_4_108_0,INDIA,10077,19811
May-2014,iNV7,4_3_113_0,ST KITTS/NEVIS,4_5_110_0,INDIA,2,127
May-2014,hZLT,4_1_103_0,LUXEMBOURG,4_5_114_0,INDIA,2053,2714
May-2014,iZVE,4_1_104_0,TAIWAN,4_1_131_0,INDIA,145917,203791
May-2014,iYWB,4_2_82_0,INDIA,4_3_112_0,BR VIRGIN ISL,219,0
May-2014,iNV7,4_4_107_0,INDIA,4_1_245_0,INDIA,13480,0
May-2014,iNV7,4_4_104_0,INDIA,4_3_191_0,INDIA,13480,0
May-2014,zZA2,4_4_109_0,INDIA,4_1_226_0,RUSSIA,103,31
May-2014,iNV7,4_4_134_0,FIJI,4_4_137_0,INDIA,166,639
May-2014,iNV7,4_5_4_0,SINGAPORE,4_1_172_0,INDIA,0,8
May-2014,iLBF,4_4_156_0,INDIA,4_5_233_0,U. K.,184,0
May-2014,iB20,4_4_87_0,INDIA,4_4_141_0,SWITZERLAND,0,223786
May-2014,iB20,4_4_90_0,INDIA,4_3_161_0,SWITZERLAND,0,223786
May-2014,i0YG,4_5_233_0,U. K.,6_229_0_113,JAMAICA,0,2
May-2014,i0YG,4_5_233_0,U. K.,4_4_54_0,JAMAICA,0,2
May-2014,iYYN,4_3_232_0,UNIT. ARAB EMIR,4_2_127_0,HONDURAS,35,0
May-2014,iBN0,4_2_72_0,FRANCE,4_5_223_0,SWEDEN,77,39
May-2014,iBN0,4_2_72_0,FRANCE,4_6_8_0,SWEDEN,77,39
May-2014,iBN0,4_5_213_0,FRANCE,4_5_89_0,SWEDEN,77,39
May-2014,iBN0,4_4_243_0,FRANCE,4_5_182_0,SWEDEN,77,39
May-2014,iBN0,4_3_205_0,FRANCE,4_4_230_0,SWEDEN,77,39
May-2014,iBN0,4_3_205_0,FRANCE,4_5_42_0,SWEDEN,77,39
May-2014,iBN0,6_229_0_126,FRANCE,4_5_224_0,SWEDEN,154,78
May-2014,iBN0,6_229_0_120,FRANCE,4_4_192_0,SWEDEN,77,39
May-2014,iBN0,6_229_0_122,FRANCE,4_5_223_0,SWEDEN,77,39
May-2014,iBN0,6_229_0_117,FRANCE,4_4_211_0,SWEDEN,77,39
May-2014,iBN0,6_229_0_117,FRANCE,4_5_49_0,SWEDEN,77,39
May-2014,iBN0,6_229_0_115,FRANCE,4_5_158_2,SWEDEN,77,39
May-2014,iBN0,4_3_10_0,FRANCE,4_6_18_0,SWEDEN,77,39
May-2014,iVMU,4_2_69_0,ALGERIA,4_4_113_0,INDIA,9887,12429
May-2014,iEOM,4_5_30_1,INDIA,4_3_112_0,ST VINCENT & GR,10,0
May-2014,iN69,4_2_32_0,CAMEROON,6_229_0_107,JAMAICA,2,3
May-2014,iNV7,6_229_0_196,ANTIGUA & BARB,4_1_175_0,INDIA,5582,5053
May-2014,hZJZ,4_3_225_0,U. K.,4_3_48_0,INDIA,309,183
May-2014,nDML,4_1_108_0,AUSTRIA,4_5_213_0,BERMUDA,153,296
May-2014,i0ZW,6_229_0_196,GUYANA,4_2_119_0,PARAGUAY,183,172
May-2014,i0ZW,4_5_213_0,GUYANA,4_2_181_0,PARAGUAY,183,172
May-2014,i0ZW,6_229_0_141,GUYANA,4_2_181_0,PARAGUAY,183,172
May-2014,nPA5,4_4_120_0,BERMUDA,4_1_210_0,INDIA,0,5027
May-2014,nPA5,6_229_0_125,BERMUDA,4_1_135_0,INDIA,0,5027
May-2014,iZIQ,4_1_4_0,CZECH (REP),4_5_48_0,FIJI,79,84
May-2014,iLE0,4_4_211_0,TONGA,4_1_140_0,KAZAKHSTAN,14,12
May-2014,iZTQ,4_4_140_0,U. K.,6_229_0_122,CAYMAN ISLANDS,0,148
May-2014,nNTX,6_229_0_178,ARUBA,4_1_243_0,BOLIVIA,0,13
May-2014,iLE0,4_3_191_0,INDIA,4_3_99_0,LESOTHO,1790,1428
May-2014,hZJX,6_229_0_78,MEXICO,4_3_48_0,INDIA,79070,111815
May-2014,iYWB,6_229_0_141,ANTIGUA & BARB,4_1_239_0,PERU,3422,0
May-2014,i0MR,4_4_107_0,INDIA,4_5_21_0,CAMBODIA,181,698
May-2014,iS8N,4_4_111_0,INDIA,4_5_212_0,NETHERLANDS,0,116936
May-2014,iZO7,4_4_104_0,INDIA,4_5_18_0,COSTA RICA,2891,2784
May-2014,iYWB,4_2_45_0,TRINIDAD-TOBAGO,4_4_72_0,INDIA,0,872
May-2014,iYWB,4_2_45_0,TRINIDAD-TOBAGO,4_4_68_0,INDIA,0,872
May-2014,iYWB,4_3_10_0,TRINIDAD-TOBAGO,4_4_64_0,INDIA,0,872
May-2014,iYWB,4_3_124_0,TRINIDAD-TOBAGO,4_3_226_0,INDIA,0,872
May-2014,iZWB,4_5_156_5,UNITED STATES,4_1_199_0,ITALY,78,0
May-2014,iLE0,4_2_62_0,JAPAN,4_2_51_0,NETH ANTILLES,383,0
May-2014,zZTD,4_2_83_0,INDIA,4_4_102_0,INDIA,882,0
May-2014,zZTD,4_1_144_0,INDIA,4_4_105_0,INDIA,882,0
May-2014,iJKA,4_1_59_0,INDONESIA,4_1_59_0,INDONESIA,147,0
May-2014,zZGX,4_3_25_0,INDIA,4_2_245_0,TAIWAN,1505,798
May-2014,iVMU,4_1_13_0,FRANCE,4_3_251_0,INDIA,4643,8165
May-2014,hZJY,4_2_252_0,ANTIGUA & BARB,4_2_52_0,INDIA,9880,9244
May-2014,hZJY,4_5_74_0,ANTIGUA & BARB,4_3_47_0,INDIA,9880,9244
May-2014,hZJY,4_4_3_0,ANTIGUA & BARB,4_2_52_0,INDIA,9880,9244
May-2014,hZJY,6_229_0_119,ANTIGUA & BARB,4_4_77_0,INDIA,9880,9244
May-2014,hZJY,4_3_10_0,ANTIGUA & BARB,4_1_249_0,INDIA,9880,9244
May-2014,nN69,4_4_153_0,INDIA,4_4_54_0,ANTIGUA & BARB,23,0
May-2014,nN69,4_4_80_0,INDIA,6_229_0_122,ANTIGUA & BARB,23,0
May-2014,nN69,4_4_99_0,INDIA,4_4_224_0,ANTIGUA & BARB,23,0
May-2014,iBN0,4_1_162_0,NETHERLANDS,4_4_252_0,SWEDEN,110,0
May-2014,iKPJ,4_4_114_0,INDIA,4_1_112_0,MALAYSIA,242,321
May-2014,hGAW,6_229_0_70,TRINIDAD-TOBAGO,4_4_82_0,INDIA,368,55
May-2014,h5R1,4_2_118_0,YEMEN (ARAB),4_4_90_0,INDIA,1928,1823
May-2014,iVMU,4_3_35_0,BELGIUM,4_2_82_0,INDIA,344,171125
May-2014,i0MR,4_2_127_0,HONDURAS,4_5_23_0,JAMAICA,53,53
May-2014,i1UG,4_5_91_0,KENYA,4_2_117_0,GUATEMALA,0,8
May-2014,iNV7,4_1_4_0,CZECH (REP),4_6_19_0,INDIA,9935,9336
May-2014,nPA5,4_4_120_0,CAYMAN ISLANDS,4_1_228_0,DOMINICAN REP,0,1614
May-2014,iYWA,4_5_127_0,TRINIDAD-TOBAGO,4_2_182_0,ARGENTINA,22,21
May-2014,iZIQ,4_5_11_0,CAMBODIA,4_5_189_0,SWEDEN,2312,2327
May-2014,iVMU,6_229_0_118,CAYMAN ISLANDS,4_2_19_0,INDIA,12014,12828
May-2014,nDMJ,4_1_213_0,IRELAND,4_2_72_0,TURKS & CAICOS,6072,7229
May-2014,iYWB,4_1_21_0,U. K.,4_3_109_0,JAMAICA,3534,0
May-2014,iRTT,4_4_112_0,INDIA,4_4_22_0,NETHERLANDS,109586,172421
May-2014,nYWE,6_229_0_115,JAMAICA,4_1_196_0,KAZAKHSTAN,0,188
May-2014,iZVE,4_4_54_0,HAITI,4_1_172_0,INDIA,11977,14292
May-2014,i0YG,4_4_199_1,KENYA,6_229_0_116,TRINIDAD-TOBAGO,18,21
May-2014,i0YG,4_5_24_0,KENYA,4_4_120_0,TRINIDAD-TOBAGO,18,21
May-2014,i0YG,4_4_238_0,KENYA,6_229_0_117,TRINIDAD-TOBAGO,18,21
May-2014,i0YG,4_5_146_0,KENYA,4_3_202_0,TRINIDAD-TOBAGO,18,21
May-2014,iVMU,4_1_43_0,SWEDEN,4_4_154_0,INDIA,41314,41370
May-2014,iVMU,4_3_173_0,SWEDEN,4_4_87_0,INDIA,41314,41370
May-2014,iDMJ,4_6_3_0,SRI LANKA,6_229_0_115,HAITI,2001,1002
May-2014,iDMJ,4_2_171_0,SRI LANKA,4_4_224_0,HAITI,2001,1002
May-2014,iVMU,4_1_95_0,BRUNEI,4_1_217_0,INDIA,61963,0
May-2014,nYWE,6_229_0_178,CAYMAN ISLANDS,4_1_159_0,DENMARK,0,241
May-2014,nYWE,4_3_10_0,CAYMAN ISLANDS,4_1_231_1,DENMARK,0,241
